Date,Open,High,Low,Close,Adj Close,Volume,VolOsc,VolOscNorm,VolOsc_Peak,Price_Movement
2020-03-13,30.770000457763672,33.869998931884766,30.329999923706055,31.729999542236328,31.729999542236328,743129,271168.7799999999,0.3635862538490008,,
2020-03-16,33.75,33.75,28.100000381469727,28.700000762939453,28.700000762939453,698829,241865.45999999996,0.3224631855507756,,
2020-03-17,28.690000534057617,30.299999237060547,26.6299991607666,26.950000762939453,26.950000762939453,545820,202054.97999999998,0.27185141060966916,,
2020-03-18,26.940000534057617,27.219999313354492,20.059999465942383,20.3700008392334,20.3700008392334,309481,166712.57999999996,0.22683214430736726,,
2020-03-19,22.299999237060547,27.709999084472656,21.360000610351562,25.219999313354492,25.219999313354492,136722,118844.22000000009,0.16368789787494,,
2020-03-20,24.729999542236328,27.889999389648438,19.459999084472656,22.43000030517578,22.43000030517578,1133808,106045.05999999994,0.1463490780075404,,
2020-03-23,22.520000457763672,24.06999969482422,20.799999237060547,23.360000610351562,23.360000610351562,852951,11861.5,0.01632367656289415,,
2020-03-24,23.8700008392334,25.15999984741211,23.09000015258789,24.010000228881836,24.010000228881836,659697,-29902.219999999972,-0.04107932402794985,,
2020-03-25,24.3700008392334,25.239999771118164,22.90999984741211,24.489999771118164,24.489999771118164,618725,-56188.77999999991,-0.07711792249275999,,
2020-03-26,24.25,24.649999618530273,22.3799991607666,22.600000381469727,22.600000381469727,633877,-97827.93999999994,-0.13380341909333335,,
2020-03-27,23.290000915527344,23.440000534057617,20.8799991607666,21.510000228881836,21.510000228881836,603124,-115227.53999999992,-0.1568722755232066,,
2020-03-30,20.93000030517578,20.93000030517578,19.270000457763672,20.09000015258789,20.09000015258789,758711,-120756.14000000001,-0.16186114309521266,Bottom,Up
2020-03-31,20.229999542236328,21.889999389648438,20.010000228881836,20.479999542236328,20.479999542236328,660082,-120080.35999999999,-0.15866893756718434,,
2020-04-01,20.100000381469727,21.549999237060547,19.899999618530273,20.309999465942383,20.309999465942383,703286,-81798.88,-0.107928729857525,,
2020-04-02,21.219999313354492,27.389999389648438,20.760000228881836,25.31999969482422,25.31999969482422,1095972,4609.060000000056,0.006005961004841474,,
2020-04-03,24.809999465942383,29.1299991607666,23.520000457763672,28.34000015258789,28.34000015258789,1007577,-14085.680000000051,-0.018210649171772925,,
2020-04-06,26.09000015258789,28.239999771118164,25.280000686645508,26.079999923706055,26.079999923706055,752710,-27440.080000000075,-0.035323775053192216,,
2020-04-07,26.34000015258789,27.239999771118164,23.540000915527344,23.6299991607666,23.6299991607666,797707,-15335.619999999995,-0.0196986119892813,,
2020-04-08,24.299999237060547,26.450000762939453,23.739999771118164,25.09000015258789,25.09000015258789,823554,1355.4599999999627,0.0017326500495573791,,
2020-04-09,26.280000686645508,28.360000610351562,22.56999969482422,22.760000228881836,22.760000228881836,1122149,40239.26000000001,0.05079124598291794,,
2020-04-13,24.600000381469727,24.739999771118164,22.030000686645508,22.40999984741211,22.40999984741211,775120,56338.92000000004,0.0710141432532725,,
2020-04-14,22.360000610351562,23.079999923706055,19.950000762939453,20.110000610351562,20.110000610351562,785478,59864.19999999995,0.07553848943462783,Top,Down
2020-04-15,20.719999313354492,20.889999389648438,19.200000762939453,19.8700008392334,19.8700008392334,544797,54960.640000000014,0.06993565739948561,,
2020-04-16,20.149999618530273,20.530000686645508,19.420000076293945,19.8700008392334,19.8700008392334,350942,29894.53999999992,0.03853848969543943,,
2020-04-17,20.0,20.219999313354492,17.309999465942383,18.270000457763672,18.270000457763672,240628,-42693.5,-0.05597241175693997,,
2020-04-20,17.729999542236328,17.850000381469727,-40.31999969482422,-37.630001068115234,-37.630001068115234,247947,-108602.26000000001,-0.14428254579155042,Bottom,Up
2020-04-21,-14.0,13.859999656677246,-16.739999771118164,10.010000228881836,10.010000228881836,2288230,14552.03999999992,0.018582532600174822,,
2020-04-22,13.119999885559082,16.18000030517578,10.260000228881836,13.779999732971191,13.779999732971191,1235218,47916.66000000003,0.060387253449207014,,
2020-04-23,14.199999809265137,18.260000228881836,13.350000381469727,16.5,16.5,833584,46762.640000000014,0.05877312424085336,,
