Datetime,Price,Volume,VolOsc,VolOscNorm,Volatility,PredictedVolatility
2023-01-02 09:15:00+05:30,1630.800048828125,0,,,,
2023-01-02 10:15:00+05:30,1635.199951171875,348790,,,,
2023-01-02 11:15:00+05:30,1631.949951171875,261384,,,,
2023-01-02 12:15:00+05:30,1629.5999755859375,225746,,,,
2023-01-02 13:15:00+05:30,1626.699951171875,277716,,,,
2023-01-02 14:15:00+05:30,1629.300048828125,444554,,,,
2023-01-02 15:15:00+05:30,1628.699951171875,136463,,,,
2023-01-03 09:15:00+05:30,1633.3499755859375,0,,,,
2023-01-03 10:15:00+05:30,1639.050048828125,633230,,,,
2023-01-03 11:15:00+05:30,1633.75,459228,,,,
2023-01-03 12:15:00+05:30,1630.75,506269,,,,
2023-01-03 13:15:00+05:30,1635.1500244140625,563673,,,,
2023-01-03 14:15:00+05:30,1638.550048828125,680078,,,,4.04121618797506
2023-01-03 15:15:00+05:30,1639.3499755859375,355024,,,4.04121618797506,4.162928408142222
2023-01-04 09:15:00+05:30,1628.75,0,,,4.162928408142222,4.7192714376477705
2023-01-04 10:15:00+05:30,1624.0,714876,,,4.7192714376477705,6.888687441436454
2023-01-04 11:15:00+05:30,1613.300048828125,739938,,,6.888687441436454,7.809965365016152
2023-01-04 12:15:00+05:30,1617.0,473988,,,7.809965365016152,8.24298071484617
2023-01-04 13:15:00+05:30,1619.6500244140625,591960,,,8.24298071484617,9.658438424532351
2023-01-04 14:15:00+05:30,1610.5,935417,,,9.658438424532351,10.564491761612624
2023-01-04 15:15:00+05:30,1611.9000244140625,366727,,,10.564491761612624,11.613916078898868
2023-01-05 09:15:00+05:30,1606.9000244140625,0,,,11.613916078898868,12.056130027420238
2023-01-05 10:15:00+05:30,1604.3499755859375,507113,,,12.056130027420238,13.109169599109041
2023-01-05 11:15:00+05:30,1598.75,680960,,,13.109169599109041,13.568634222391543
2023-01-05 12:15:00+05:30,1601.550048828125,574693,,,13.568634222391543,13.790868627951468
2023-01-05 13:15:00+05:30,1595.699951171875,678105,,,13.790868627951468,12.52851670463312
2023-01-05 14:15:00+05:30,1599.9000244140625,991145,,,12.52851670463312,10.175927647956325
2023-01-05 15:15:00+05:30,1600.0,414421,99185.28571428574,-0.11289676246819136,10.175927647956325,9.462373640199074
2023-01-06 09:15:00+05:30,1592.5999755859375,0,99185.28571428574,-0.11289676246819136,9.462373640199074,8.764499956008823
2023-01-06 10:15:00+05:30,1592.800048828125,434241,76088.10714285716,-0.12224052321742943,8.764499956008823,8.684642788799133
2023-01-06 11:15:00+05:30,1595.75,429878,47923.32142857142,-0.13363433993205542,8.684642788799133,8.662950698635743
2023-01-06 12:15:00+05:30,1587.8499755859375,630388,44643.25,-0.13496126402255432,8.662950698635743,7.9565380176773655
2023-01-06 13:15:00+05:30,1584.8499755859375,722950,38098.46428571432,-0.1376088996062772,7.9565380176773655,7.2383565929526075
2023-01-06 14:15:00+05:30,1595.550048828125,1034161,24094.21428571432,-0.1432741959569918,7.2383565929526075,5.995035571215205
2023-01-06 15:15:00+05:30,1595.25,264830,12231.32142857142,-0.1480732250811855,5.995035571215205,5.742698151015525
2023-01-09 09:15:00+05:30,1604.8499755859375,0,12231.32142857142,-0.1480732250811855,5.742698151015525,6.274448157723386
2023-01-09 10:15:00+05:30,1608.550048828125,497792,16402.607142857218,-0.14638576807813777,6.274448157723386,7.173747059554335
2023-01-09 11:15:00+05:30,1609.75,866749,15118.92857142858,-0.14690506897081002,7.173747059554335,7.167335233752338
2023-01-09 12:15:00+05:30,1601.4000244140625,878795,23536.0,-0.1435000166439814,7.167335233752338,10.751002850628506
2023-01-09 13:15:00+05:30,1594.4000244140625,695160,20058.25,-0.14490690986451785,7.200592214200679,7.165352203398431
2023-01-09 14:15:00+05:30,1596.75,933731,6898.214285714319,-0.15023068673992468,7.165352203398431,7.124363835411797
2023-01-09 15:15:00+05:30,1598.0,308833,1005.8928571428405,-0.15261437362687139,7.124363835411797,9.281882906006672
2023-01-10 09:15:00+05:30,1574.5999755859375,0,1005.8928571428405,-0.15261437362687139,9.281882906006672,11.60665055902104
2023-01-10 10:15:00+05:30,1569.699951171875,1358360,44032.82142857148,-0.13520820754027826,11.60665055902104,12.79315780602156
2023-01-10 11:15:00+05:30,1573.75,883443,71305.14285714284,-0.12417542941472351,12.79315780602156,14.603618621671396
2023-01-10 12:15:00+05:30,1566.050048828125,921459,76114.82142857136,-0.1222297161877514,14.603618621671396,15.399368300641521
2023-01-10 13:15:00+05:30,1572.0,1028991,82366.64285714284,-0.11970059673297123,15.399368300641521,16.190180934937704
2023-01-10 14:15:00+05:30,1570.0,1683321,102024.35714285704,-0.1117482410547845,16.190180934937704,16.74350562147124
2023-01-10 15:15:00+05:30,1570.0,710667,121586.28571428568,-0.10383463464611184,16.74350562147124,15.898055797327137
2023-01-11 09:15:00+05:30,1582.199951171875,0,121586.28571428568,-0.10383463464611184,15.898055797327137,14.39716747360256
2023-01-11 10:15:00+05:30,1578.75,914068,136786.17857142852,-0.0976856514778005,14.39716747360256,12.509659705559415
2023-01-11 11:15:00+05:30,1592.4000244140625,1268198,144488.32142857148,-0.09456981722596594,12.509659705559415,11.69503615138156
2023-01-11 12:15:00+05:30,1593.550048828125,811574,131226.78571428568,-0.09993465503498922,11.69503615138156,11.244296022832573
2023-01-11 13:15:00+05:30,1588.050048828125,830385,135447.14285714284,-0.09822734661646335,11.244296022832573,10.697187878709144
